region_name,item_description,total_value,regional_total,percentage
Gujarat,TIRUPATI SNACKS SALTED PIPES 22 GM 5RS,70612891.520000000,2896805871761.100000000,0.002437612
Gujarat,TIRUPATI PASTA MEXICAN CHILLI 24G 5 RS,69776504.550000000,2896805871761.100000000,0.002408739
Gujarat,TIRUPATI KACHIGHANI MUSTARDOIL1LTRBOTTLE,69320055.610000000,2896805871761.100000000,0.002392982
Gujarat,GOOD LIFE REF SUNFLOWER OIL 15 LTR NT,67024998.080000000,2896805871761.100000000,0.002313755
Gujarat,TIRUPATI PASTA MEXICAN CHILLI 22 GM 5 RS,66921277.730000000,2896805871761.100000000,0.002310175
Gujarat,TIRUPATI NOODLES CHEESY CHATPATA 22GM5RS,63908754.070000000,2896805871761.100000000,0.002206180
Gujarat,HYDROGENATED PALM STEARINE- Edible Grade,63754200.000000000,2896805871761.100000000,0.002200845
Gujarat,SODIUM SULFATE ANHYDROUS,63626550.000000000,2896805871761.100000000,0.002196438
Gujarat,TIRUPATI NAMKEEN MOONG DAL 20G 5RS,63419602.100000000,2896805871761.100000000,0.002189294
Gujarat,TIRUPATI NAMKEEN BHAVNAGRIGANTHIYA22G5RS,62943082.750000000,2896805871761.100000000,0.002172844
Gujarat,TIRUPATI PREMIUM FILTERGNOIL 15KG CHAKLI,61957171.300000000,2896805871761.100000000,0.002138810
Gujarat,TIRUPATI NAMKEEN RATLAMI SEV 22G 5RS,61934117.200000000,2896805871761.100000000,0.002138014
Gujarat,WAFERS CRUNCHIT SALTED 25G RS 5 PROMO,61036938.360000000,2896805871761.100000000,0.002107043
